STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bayoyong SPIP,BASISTA,"10,000,000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation,,,,,,,,,,,
6,Mamarlao SPIP,SAN CARLOS,"10,000,000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation,,,,,,,,,,,
7,Alitaya SPIP,MANGALDAN,"10,000,000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
8,Diaz SPIP,UMINGAN,"10,000,000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
9,Bantog SPIP,SAN QUINTIN,"10,000,000.00",,,,,,,,,,,EGPIP Solar - Procurement/Installation of 1-unit Solar-Powered Pump/Solar Power Driven Pump Irrigation (Augmentation),,,,,,,,,,,
10,Pogomboa SPIP,AGUILAR,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Pogomboa, Aguilar (Augmentation)",,,,,,,,,,,
11,Poblacion SPIP,AGUILAR,"20,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of 2 units Solar Powered Pump, Brgy. Poblacion, Aguilar",,,,,,,,,,,
12,Bued SPIP,ALAMINOS CITY,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Bued, Alaminos City",,,,,,,,,,,
13,San Jose SPIP,ANDA,"20,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of 2 units Solar Powered Pump, Brgy. San Jose, Anda",,,,,,,,,,,
14,Centro Toma SPIP,BANI,"50,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of of 5 units Solar Powered Pump, Brgy. Centro Toma, Bani",,,,,,,,,,,
15,Pangascasan SPIP,BUGALLON,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Pangascasan, Bugallon",,,,,,,,,,,
16,Anapao SPIP,BURGOS,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Anapao, Burgos",,,,,,,,,,,
17,Quesban SPIP,CALASIAO,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of Solar Powered Pump, Brgy. Quesban, Calasiao (Augmentation)",,,,,,,,,,,
18,Alilao PIP,DASOL,"10,000,000.00",,,,,,,,,,,"EGPIP Solar - Provision of water pumps, Brgy. Alilao, Dasol (Augmentation)",,,,,,,,,,,
19,Bamban SPIP,INFANTA,"20,000,000.00",,,,,,,,,,,"EGPIP Solar - Construction of 2 units Solar Powered Pump, Brgy. Bamban, Infanta",,,,,,,,,,,
